E,coh
3.1622800000e-02,4.295560e-02
3.1915400000e-02,4.229506e-02
3.2210700000e-02,4.164455e-02
3.2508700000e-02,4.100407e-02
3.2809500000e-02,4.037329e-02
3.3113100000e-02,3.975253e-02
3.3419500000e-02,3.914113e-02
3.3728700000e-02,3.853910e-02
3.4040800000e-02,3.794608e-02
3.4355800000e-02,3.735508e-02
3.4673700000e-02,3.676741e-02
3.4994500000e-02,3.618911e-02
3.5318300000e-02,3.562017e-02
3.5645100000e-02,3.505991e-02
3.5974900000e-02,3.450835e-02
3.6307800000e-02,3.396548e-02
3.6643800000e-02,3.343130e-02
3.6982800000e-02,3.290552e-02
3.7325000000e-02,3.238795e-02
3.7670400000e-02,3.187854e-02
3.8018900000e-02,3.137716e-02
3.8370700000e-02,3.088363e-02
3.8725800000e-02,3.039788e-02
3.9084100000e-02,2.991980e-02
3.9445700000e-02,2.944920e-02
3.9810700000e-02,2.898602e-02
4.0179100000e-02,2.852020e-02
4.0550900000e-02,2.805900e-02
4.0926100000e-02,2.760524e-02
4.1304800000e-02,2.715885e-02
4.1686900000e-02,2.671967e-02
4.2072700000e-02,2.628758e-02
4.2462000000e-02,2.586248e-02
4.2854900000e-02,2.544426e-02
4.3251400000e-02,2.503280e-02
4.3651600000e-02,2.462802e-02
4.4055500000e-02,2.422976e-02
4.4463100000e-02,2.383795e-02
4.4874500000e-02,2.345246e-02
4.5289800000e-02,2.307322e-02
4.5708800000e-02,2.270009e-02
4.6131800000e-02,2.233302e-02
4.6558600000e-02,2.197190e-02
4.6989400000e-02,2.161659e-02
4.7424200000e-02,2.126704e-02
4.7863000000e-02,2.092313e-02
4.8305900000e-02,2.058480e-02
4.8752800000e-02,2.025193e-02
4.9204000000e-02,1.991869e-02
4.9659200000e-02,1.958959e-02
5.0118700000e-02,1.926594e-02
5.0582500000e-02,1.894764e-02
5.1050500000e-02,1.863462e-02
5.1522900000e-02,1.832675e-02
5.1999600000e-02,1.802396e-02
5.2480700000e-02,1.772618e-02
