E_MeV,H_K_cm2g,O_K_cm2g,O_L1_cm2g,O_L2_cm2g,O_L3_cm2g
2.25,3.494144772342347e-11,8.430685493932269e-07,4.8000012554735274e-08,1.7849624431160567e-11,3.8617954386746886e-11
2.34521,3.294661305162277e-11,7.931523941267756e-07,4.514196395514837e-08,1.679317393264208e-11,3.631889655214807e-11
2.5,3.0123187074870476e-11,7.236542022145368e-07,4.1215513650804587e-08,1.5327061327935295e-11,3.3159278898747014e-11
2.73861,2.6609079293022435e-11,6.363379817753415e-07,3.6257119704257524e-08,1.3484347463669835e-11,2.916917588730532e-11
3.0,2.3581043990442974e-11,5.621066149970365e-07,3.200603178425063e-08,1.189595194400932e-11,2.574813241599172e-11
3.24037,2.1318537274557514e-11,5.067373458867178e-07,2.8869370835054387e-08,1.0735946126983203e-11,2.322470057043015e-11
3.5,1.9323554429798572e-11,4.579834927710764e-07,2.6077508436549504e-08,9.692254402470701e-12,2.0978729269694566e-11
3.74166,1.7762858172128883e-11,4.199125490305388e-07,2.3924396912631735e-08,8.897741813166885e-12,1.9246689307050264e-11
4.0,1.6347192453236415e-11,3.858474409228003e-07,2.19748046130604e-08,8.169431325207719e-12,1.7678270076012596e-11
4.5,1.4159889104694361e-11,3.3277591843319145e-07,1.8958187268053853e-08,7.050290630442923e-12,1.5251431337280256e-11
5.0,1.2486172741013642e-11,2.924849059526973e-07,1.6653569792820734e-08,6.189908578619942e-12,1.3397145183219378e-11
5.5,1.1158587532157545e-11,2.6073851507176815e-07,1.4851957045418468e-08,5.522977034011198e-12,1.1947900068589321e-11
6.0,1.0087965493674092e-11,2.3518463776775543e-07,1.3390177514528668e-08,4.977460326848332e-12,1.0771992854354736e-11
6.48074,9.234882057024457e-12,2.146765632281501e-07,1.2232371964613691e-08,4.549636058189242e-12,9.840564610475682e-12
7.0,8.45387944114289e-12,1.9645646046306534e-07,1.118987691826367e-08,4.1611484128143555e-12,9.002113682649053e-12
8.0,7.280347649200246e-12,1.6847476861481932e-07,9.595572716944939e-09,3.5685070468736665e-12,7.719399319837228e-12
9.0,6.385805404447585e-12,1.4760226554931046e-07,8.406777613170041e-09,3.1258398384454657e-12,6.762969456723952e-12
10.0,5.688240805643064e-12,1.3119205059644145e-07,7.468739576846871e-09,2.776660146998992e-12,6.008351335524172e-12
11.0,5.1293834519547616e-12,1.1807990677963001e-07,6.726600096055791e-09,2.5013204662740588e-12,5.411467057331276e-12
12.0,4.667245544436133e-12,1.0737706869113569e-07,6.11546726011839e-09,2.2738499887933834e-12,4.919520602530238e-12
12.5,4.465030862910037e-12,1.0269588758636248e-07,5.848212034431498e-09,2.1743869057183454e-12,4.704615295058769e-12
13.0,4.279940732291094e-12,9.839040134204885e-08,5.602428273721249e-09,2.08292347974711e-12,4.506790517931843e-12
14.0,3.956272095494055e-12,9.074220586292001e-08,5.169378802780368e-09,1.922345526648672e-12,4.1585089610308295e-12
15.0,3.677015097705065e-12,8.429120318511809e-08,4.802075041083412e-09,1.7855896802348788e-12,3.86308711992803e-12
16.0,3.4336684990213458e-12,7.869008495075859e-08,4.482156130347935e-09,1.6664859649063332e-12,3.6057137961417006e-12
17.5,3.1222861344522577e-12,7.152493636805372e-08,4.072952796762631e-09,1.514186778924908e-12,3.2765515934395166e-12
18.0,3.0303402166388547e-12,6.941004596021398e-08,3.952207946275635e-09,1.4692436961331576e-12,3.1794165902204527e-12
20.0,2.713637716728717e-12,6.203978250621996e-08,3.532547050426609e-09,1.3139981430936857e-12,2.8418536730565102e-12
22.0,2.4572689547135065e-12,5.6121867533704546e-08,3.1971977313942664e-09,1.1890052498258008e-12,2.5720218067077025e-12
24.0,2.2444441827053248e-12,5.124431576004613e-08,2.918922796618961e-09,1.0853239814906043e-12,2.348134486787371e-12
25.0,2.15102765464206e-12,4.9104306858925157e-08,2.7968483914312946e-09,1.0398459557656685e-12,2.2499236021029123e-12
26.0,2.064957467735579e-12,4.713262822382368e-08,2.684373372760199e-09,9.979498723780771e-13,2.1594237296603976e-12
28.0,1.9116391191586347e-12,4.362062132194512e-08,2.484050049732767e-09,9.233358644479952e-13,1.9982386544956158e-12
30.0,1.7805175619830335e-12,4.058647464626183e-08,2.3110160135967467e-09,8.593336453288578e-13,1.859029190940914e-12
35.0,1.5200769707419802e-12,3.4616283776728615e-08,1.9715995114547553e-09,7.331454532936129e-13,1.586152287039437e-12
40.0,1.3254769166444935e-12,3.017176063922484e-08,1.7183192874670494e-09,6.389410214039441e-13,1.3823926440437134e-12
45.0,1.174586443063979e-12,2.6727522451982597e-08,1.5220577126867926e-09,5.659330764334293e-13,1.2244775214177799e-12
50.0,1.054391119287269e-12,2.39810615906175e-08,1.3655720452311858e-09,5.077062580147566e-13,1.0985901233413827e-12
55.0,9.572931253599694e-13,2.1757049708469223e-08,1.2392537739309617e-09,4.608074642331878e-13,9.969663531869436e-13
60.0,8.764438750403891e-13,1.991598304941538e-08,1.1343564313694836e-09,4.217939805237637e-13,9.125711670528208e-13
70.0,7.496167967125457e-13,1.702844642584553e-08,9.698391558791262e-10,3.606110297515678e-13,7.802195526105588e-13
80.0,6.547377979853142e-13,1.4867829826964023e-08,8.467437741523475e-10,6.101147654552421,2.4033530806547563
90.0,5.810476644134447e-13,1.3190745925589349e-08,7.512038671637187e-10,2.7931343067473856e-13,6.043375501370243e-13
100.0,5.222258300182626e-13,1.1851508356278007e-08,6.749099780154741e-10,2.5094370274856987e-13,5.429712505343916e-13
110.0,4.74440575706467e-13,1.07629867456025e-08,6.130268314439358e-10,2.2795452729702194e-13,4.931888500089896e-13
125.0,4.1713493910227937e-13,9.461929187053003e-09,5.389121133828525e-10,2.0039219752482903e-13,4.3355358115415696e-13
140.0,3.721503238081266e-13,8.440657139172376e-09,4.807336236761278e-10,1.7875820610540418e-13,3.8674797454358385e-13
150.0,3.471710231430888e-13,7.873673580522191e-09,4.48437488701486e-10,1.6674736624094582e-13,3.607514709325551e-13
175.0,2.972585981406109e-13,6.74069186380406e-09,3.8390091820412885e-10,1.427479713999379e-13,3.088429535207762e-13
200.0,2.598793866559785e-13,5.891933034586081e-09,3.355546257197248e-10,1.2477017909856516e-13,2.6994685946837107e-13
220.0,2.362065774250143e-13,5.353915349605595e-09,3.0494457176775623e-10,1.1339417119976178e-13,2.4532234726360964e-13
250.0,2.078057003492012e-13,4.709588363805915e-09,2.6824345355969836e-10,9.97462504831056e-14,2.1579510784782736e-13
300.0,1.7310698107102607e-13,3.922460444548377e-09,2.2340808772155303e-10,8.307269135820473e-14,1.7972446930928486e-13
350.0,1.4832780872417997e-13,3.3605221339691104e-09,1.9139999758019552e-10,7.116985270764947e-14,1.5397623856268567e-13
400.0,1.2975466478580017e-13,2.9392524250514263e-09,1.674046268659188e-10,6.224825331785276e-14,1.3467031599439054e-13
450.0,1.1530830958680312e-13,2.6117234962329087e-09,1.4874911753270378e-10,5.530973252567917e-14,1.1966336628301742e-13
500.0,1.0375647515540178e-13,2.349789593489611e-09,1.3382999240335176e-10,4.9760708972776126e-14,1.0766092102009791e-13
550.0,9.430395597971822e-14,2.135546687271629e-09,1.2162717962040384e-10,4.522518755730425e-14,9.78451102796759e-14
600.0,8.642876668682566e-14,1.957062169076072e-09,1.1146092643980016e-10,4.1444482108301545e-14,8.96665961181566e-14
700.0,7.40584551961804e-14,1.676686643084497e-09,9.549175360353496e-11,3.5507100089633875e-14,7.681889147553849e-14
800.0,6.478350557588513e-14,1.4664989456793715e-09,8.352036525836053e-11,3.105506377089476e-14,6.7188476282683e-14
900.0,5.757149464380968e-14,1.3034080224926972e-09,7.423665086299097e-11,2.7603625013399233e-14,5.972040910426203e-14
948.683,5.461095177796859e-14,1.2365026167706552e-09,7.042575168494301e-11,2.618665752884979e-14,5.665360641794221e-14
1000.0,5.180277172107413e-14,1.1783690507075902e-09,6.711473001808193e-11,2.49554843997036e-14,5.399127029431059e-14
